Magnusson, Mattias/Anderson, Fred
Biener, Dagmar/Grimm, Michael
Hagee, Diana/Bondy, Christopher
Gilroy, Jason/Bishop, Mark
Smolinski, Aaron/Acheson, Mark
Seagrave, Jocelyn/Acovone, Jay
Vannasing, Sue/Bedard, Irene
Dicker, Avital/Batalla, Rick
Egeberg, Ingjerd/Forsmark, G�ran
Jenkins, Jolie/Booth, Kristin
Cusack, Dick/Arnold, Tom
K�llvik, Ulf/Ekborg, Dan
Stonestreet, Eric/Caton, Robert Randolph
Lyons, Charles/Asner, Edward
Scharff, Thomas/Aljinovic, Boris
Raven/Davieau, Joe
Ulfsson, Birgitta/Lyytik�inen, Anna-Elina
Lucas, Laurent/Cambois, Nicolas
MacDonald, Kenneth/Bennett, John
Alban, Carlo/Amedori, John Patrick
Coolidge, Jennifer/Roberds, Michael
Winling, Jean-Marie/Armend�riz Jr., Pedro
Krause, Brian/Affleck, Casey
Kifle, Edlawit 'Lucky'/Davieau, Joe
Jenner, Miguel �ngel/Cleary, Shannon Hart
Keuther, Jeff/Caan, James
Mitchell, Hamilton/Barela, Richard
Lynn, Amber/Misty
Tribord, Ricky/Bouvet, Jean-Christophe
Goldberg, Marcy/Boyd, Lynda
Panier, Michel/Baye, Nathalie
Trejo, Danny/Albert, Edward
Moen, Dillon/Barber, Gillian
Nova, Sunni/Lawrence, Joel
Ferrabee, Gillian/Baldwin, Stephen
Soto, Talisa/Arce, Robert
Spurrier, Linda/Arocho, John
Jourdan, Kieth/Anderson, Stanley
Woodburn, Danny/Banks, Morwenna
Dutton, Tim/Braiden, Des
Grazer, Gavin/Argento, Jayson
Illot, Craig/Gleeson, Paul
Albal�, Javier/Celada, Federico
Vairio, Anna-Marja/Eronen, Tommi
Travis, Abby/Ager, Nikita
Hunter, Jennifer/Ariola, Julie
Pellegeay, Fr�d�ric/Arias, Imanol
Rosario, Bert/Bullock, Sandra
Slattery, Ryan/Director, Kim
St. Claire, Jasmin/Conner, Ryan
Beers, Francine/DeSando, Anthony
Hoeffner, Glenn/Beardsley, Michael
Coudevylle, Christian/Barrat, Pierre
Woods, Ruth/Brown, Blair
Tai, Ada/Kazakova, Marya
Cuthbert, Elisha/Anderson, Stanley
Thornton, Christy/Basinger, Jeanine
Hult, Mattias/Affleck, Casey
R�nier, Yves/Bas, Philippe
Tenorio, Jos� Mar�a/Barea, Ram�n
Khouri, Callie/Adams, Joey Lauren
Seymour, Stephanie/Bono
Collins, Clan/Byrne, Ed
Hamashige, Shane/Channing, Stockard
Rodr�guez, Adriana/Brown, Bille
Kramer, Shane/Hawn, Phil
Tolkien, Daniela/Andrae, Manfred
Winter, Oph�lie/Angarano, Michael
Cox, Laura/Carver, Caroline
Macdonald, Winston/Andrews, Naveen
Gubinelli, Luciano/Bocciarelli, Gabriele
Hope, Karen/Jeremy, Ron
Garz�n, Yaiza/Balagu�, Carmen
Cano, M�nica/Baeza, Cristina
Ballard, Elise/Airlie, Andrew
Thorburn, Jim/Bale, Christian
Calix, Rebecca/Arquette, David
Le�o, Renata/Duarte, Lima
Camilli, Fabio/Terzieff, Laurent
Sandelgard, Eva/Arrendell, George
Guttman, Eliane/Goulart, Beth
Fats, Harmonica/Bridges, Jimmy
Wilson, Erika/Alexi-Malle, Adam
Sheridan, Brian/Acovone, Jay
Cannon, Landy/Benedetti, Caprice
Madson, Shaw/Baxter, Jennifer
Thompson, Jack/Attenborough, David
Quesada, Antonio Fco Marquez/Benfield, John
Handley, Taylor/Caldwell, Sandra
Zhuang, Cun/Copelin, Christian
Hannaway, Patrick/Lewis, Gary
DiCenzo, George/Aronson, Judie
Gould, Dana/Bune, Tyce
Fleisher, Shira/Brendler, Julia
Paradee, Janelle/Berry, Christopher
Lake, Ricki/Director, Kim
Cosma, Constantino/Rissi, Claudio
Antoine, Carol/Coleman, Rosalyn
Adgharouamane, Anissa/Charmetant, Christian
Behr, Jennifer/Baker, Simon
Corrigan, Natascha/Chukerman, Brett
Frances, Fiona/Akhurst, Lucy
Mortimer, Bob/Eccleston, Christopher
Loder, Anne Marie/Alexi-Malle, Adam
Dessevre, Virginie/Gillain, Marie
Harris, Harriet Sansom/Allen, Woody
Rawls, Lou/Campbell, Neve
Madonna/Graham, Aimee
Wynn, Nat/Bowie, David
Tougas, Anne-Marie/Croze, Marie-Jos�e
Brenner, Matthias/Ahren, Barbara M.
Rodr�guez Todd, Alejandro/Brody, Adam
Johnson-Smith, Shauntae/Beghe, Jason
Smith, Heather/Bohrer, Corinne
Farfan Villena, Patricia/Gourmet, Olivier
Jackson, Clydine/Anderson, Stanley
Rose, Cristine/Barela, Richard
Graves, Rupert/Berlioux, Daniel
Poe, Marisa/Ellis, Fred E.
Cosenza, Laura/Amandola, Vittorio
Oyamada, Sayuri/Shintani, Mayumi
Santos, Rey-Phillip/Barton, Mischa
Sch�fer, Jens/Krause, Horst
Kim, Rae-won/Kim, Sang Jung
Ranariddh, Prince Norodom/Balmer, Jean-Fran�ois
Majtrews, Kajrsma/Airlie, Andrew
Manqui�a, Manuel/Barea, Ram�n
Lyssiotis, Simon/Branagh, Kenneth
Stevens, Wass W./Thomas, David Jean
Cheung, Tung Cho 'Joe'/Lai, Leon
George, Nelson/Bale, Christian
La Cruz, Veronica De/Beatty, Ned
Hill, Rayietta/Bradshaw, Andy
Lopes, Diogo/Cardoso, Rog�rio
Garofalo, Janeane/Graf, David Alan
Franklin, Joseph Paul/Barry, John
Fleuri, Renaud/C�lari�, Cl�mentine
Salminen, Ville-Veikko/Lyytik�inen, Anna-Elina
Esey Joseph, Juliet/Greco, Carlo
Zhang, Zhao/Copelin, Christian
Poupaud, Melvil/Arias, Imanol
Scoren, Joseph/Azman, Yank
Johnson, Alan/Corley, Annie
Rogue, Michael/Callan, Peter
Borbridge, Brad/Azman, Yank
Styne, Jay/Arkin, Adam
Abdelhamid, Na�ma/Epstein, Yan
Boles, Steve/Archer, Anne
Johnson, Adrienne-Joi/Bahns, Maxine
Morris, Brett/Aaliyah
Davies, Russell T./Attenborough, David
Venables, Paul/Alexakis, Art
McIntosh, Yanna/Banks, Boyd
Lee, Cherish/Chuang, Susan
Panting, Paul/Badel, Sarah
Vickers, Jason/Bliss, Diane
Renee, Melinda/Auberjonois, Rene
Benson, Rona/Booth, Kristin
Soimaud, Marine/Bartram, Brad
Lautner, Kathrin/Alexander, Newell
G�ring, Helga/Pfaff, Dieter
Kralj, Jagoda/Belko, Krunoslav
Montgomery Jr., Dan/Butler, Gerard
Weinberg, Matt/Affleck, Ben
McConkey, Phil/Lipinski, Tara
Gabriele, Kelly Jones/Adams, Joey Lauren
De Angelis, Rosemary/Anderson, John
Pierrot, Fr�d�ric/Duarte, Lima
Hopkins, Harold/Batchelor, John
Miotello, Daisy/Bouvet, Jean-Christophe
Henemark, Camilla/Bogdanovich, Peter
Daley, Jodi/Contreras, Luis
Asher, Za Kari A./Beatty, Ned
Duncan, Carmen/Eadie, Nicholas
Close, Eric/Affleck, Casey
Thomson, John/Benson, Perry
Carrie, Claire/Addy, Mark
Walker, Andre/Auberjonois, Rene
Swan, Nickolas/Beaver, Mike
Alv�s, Luis Fernando/Collado, Adri�
Badger, Russell/MacKay, Don
Beard, Tom/Collins, Elaine
Unruh, Devin/Dorman, Vanessa
Cullen, Christopher/Markel, Tarri
Jackson, Richard Lee/Delaney, Simon
Graves, Michale/Bennett, Marcia
Binder, Mike/Barry, Jason
Flaman, William/Amos, John
Engl, Oliver/Borgmann, Sandra
Kachungwe, Tinashe/Alessandroni, Henry
Beacham, Stephanie/De Salvo, Anne
O'Sullivan, Camille/Atkins, Eileen
Ligardes, Raymond/Elmaleh, Gad
Mozon, Nadine/Black, Catherine
Terki, Saliha/Candelier, Isabelle
Munt, Silvia/Asensi, Neus
Libanon, Mike/H�pscher, Nadja
Allen, Lindsley/Anderson, Stanley
Serrao, Maria/De Vita, Paolo
Michaud, Fran�oise/Alterio, H�ctor
Raimi, Ted/Chuang, Susan
Jacquet, Roger/Bashung, Alain
Sobik, Andreas/Breuer, Marita
Campbell, James/Arditi, Pierre
Ferguson, J. Don/Biasucci, Dean
Scalici, Jack/Duff, Denice
Delhumeau, Luc/Ascaride, Ariane
Strong, Johnny/Arnold, Tom
Taiaki, Shaun/Hobbs, Rebecca
Taratorkin, Georgi/Mironova, Mariya
El Hichou, Tarik/Alterio, Ernesto
Pochmann, Astrid/Baumeister, Muriel
Kas, Ton/Klever, Bart
Medina, Francisco/Dux, Ferdinand
Goodman, Henry/Farina, Dennis
Karagyezyan, Anait/Berry, Halle
Feore, Rory/Baxter, Jennifer
Terashima, Thomas/Akin, Philip
Segura, Abraham/Barbeau, Adrienne
Davis, Rosie/Michie, John
Gaillard, St�phane/Agoutin, Dominique
Pavao, David/Butler, Kayren
Civanyan, Eric/Coker, Helen
Yoshinaga, Sayuri/Borden, Rainbow
Vingoe, Mary/Alessandroni, Henry
Birkett, Janine/Cartlidge, Katrin
Dalmon, Michael/Abbott, Deborah
Laudi�re, Herv�/Arditi, Pierre
Erb, Greg/Alper, Eugene
Gil, Annie/Audran, St�phane
Stephensen, Ole/Asholt, Jesper
Taskerud, Grant/Caulfield, Maxwell
Molina, Olivia/Bluto, Tony
Pena, Alberto Noel/Arditi, Pierre
Warden, Rick/Aird, Holly
Morgan, Chad/Kennell, Ron
Rhee, Simon/Caan, James
Lal, Archie/Crammond, Graham
Berman, Scott/Bliss, Tom
Kiefer, Laurent/Brichese, Pierre
Bruins, Caroline/Bako, Brigitte
Armesto, Luis/Hornillos Klein, Silke
Vassey, Liz/Austin-Olsen, Shaun
Daltrey, Roger/Bishop, Mark
Nunez, Dilio/Bonds, De'aundre
Kendall, Cavan/Benfield, John
Stone, Sam/Willis, Bruce
Guest, Pat/Graham, Holter
Milkovich, Ryan/Thomas, David Jean
Thaddeus, Marlene/Burr, Courtney
Nahmias, Shimon/Ampudia, Isabel
Luv, Bunny/Davis, Marc
Forster, Keith/Cage, Nicolas
Bouchez, �lodie/Ascaride, Ariane
Aprea, Giorgio/Bocciarelli, Gabriele
Klevin, Mikael/Affleck, Casey
Deller, Bruce/Amos, John
Nguyen, Michel/Barrat, Pierre
Svedberg, Lars/Kivioja, Hannu
Parnell, Jake/Beatty, Ned
Reddy, Kirti/Khan, Shahrukh
Bach, Pamela/Adair-Rios, Mark
D�sert, Alex/Arnold, Tom
Bailey, Janet/Aasland, Derek
Bachman, Stephanie/Rogers, AnnieScott
Guti�rrez Caba, Emilio/Fern�ndez, Juan
Bukey, Charles John/Christiansen, Dalin
Francis, Andrew/Janney, Christopher
Cortesi, Marco/De Vita, Paolo
Granli, Elisabeth/Chase, Daveigh
Zovkic, Lidija/Egeberg, Ingjerd
Moeller, Karina/O'Connor, Dennis
Chan, Wallace/Chan, Jordan
Rossi, Mary Ann/Brown, Arnold
Bennett, Frank/Davies, Kimberley
Sishwa/Patel, Amisha
Brunet, Jacques/Abbas, Hiyam
G�mez, Octavio/Bu�uel, Juan Luis
Garc�a, V�ctor/Dechent, Antonio
Stokowski, Oliver/Halmer, G�nther Maria
Wright, Erin/Barber, Gillian
Coplan, Dan/Mackenzie, Andy
Medina, Roberto/Feifel, Martin
Iglesias, Lander/Elejalde, Karra
von Sivers, Alexandre/Berling, Charles
Charisma/Mei-Yu
Gary, Tanesha Marie/Bradshaw, Andy
LaGrange, Pia/Arias, Imanol
Weissberger, Jesse/Bauchau, Patrick
Johnson, Marcy/Ager, Nikita
Kolvi�sson, Helgi/Adams, Amy
White, Sherry/Aasland, Derek
Choe, Jennifer/Berger, Anna
Rey, Adrienne/Dov, Joshua
von Huene, Walter/Angus, Forbes
Bouladoux, Sylvain/Bendula, Stefan
Barlow, Christopher/Dorman, Vanessa
Medina, Leo/Armend�riz Jr., Pedro
Marks, Jack R./Acevedo, Kirk
Arg�ello, Beatriz/Alexandre, Manuel
Drillaud, Christian/Belmondo, Jean-Paul
Tatum, Jason/Keitel, Harvey
Arentz-Hansen, Lars/Allen, Joan
Mestre, Lorenzo Bassa/Felsenheimer, Bela B.
Storehaug, Ida Torkjellsdatter/Blount, Steve
Wright, Mark/Blount, Steve
Cucchiarelli, Tiziano/Besnehard, Dominique
Donagh, Liam/Brygmann, Lars
Arcidi, Ted/Beaton, Bruce
Mathews, Hrothgar/Bridges, Beau
Matarazzo, Neal/Barron, Dana
Lambert, Marc/Darlan, Eva
Lessner, Katherine/Airlie, Andrew
Triplett, Stephen/Betz, Shana
Luong, Kathleen/Bachar, Dian
Woods, Kareem R./Arthur, Beatrice
Zavatta, Warren/Berman, Marc
Cabasino, Salvatore/Bobulova, Barbora
McDermott, Heather/Budraitis, Juozas
Braun, Sarah/Bleibtreu, Monika
van der Borght, Britt/Arrendell, George
Stevenson, Tim/Thurman, Uma
Gaul, Patricia/Moll, Richard
Randall, Ginnie/Loggia, Robert
Pygram, Wayne/Branagh, Kenneth
Zecarias, Wintom/Bj�rklund, Irina
Stack, Robert/Dunne, Robin
Youn, Kwangchul/Citran, Roberto
Donahue, Brian/Tsar, Mike
Salmon, Colin/Dionisotti, Paola
Winter, David/Atkine, F�odor
Blancheteau, Annick/Compte, Maurice
Dirks, Whitney/Arquette, Lewis
Garrett, Jennifer/Beatty, Ned
Kieferle, Kirsten/Dickens, Kim
Dennison, Holly/Jutras, Richard
Cheung, Roy/Pibal, Janine
Brown, Lawrence/Togashi, Makoto
Powell, Andrea/Ashbrook, Dana
Longmore, Simon/Botone, Talia
Lynn, John/Boyd, Lynda
Kolsrud, Lasse/Blount, Steve
Br�nnstr�m, Brasse/Henriksen, Bjarne
Semmer, Peter/Contreras, Luis
Lohmeyer, Peter/Egloff, Tim
Maier, David/Burton, Jennifer
Morts, Billy/Coco, Salvatore
Zent, Alexander/Bennett, Fran
Milkovich, Ryan/Benson, Jodi
Robinson, Estelle/Bergere, Jenica
Goekoel, Demir/Berger, Wolfram
Hough, Adrian/Bax, Kylie
Denney, Michael/Bernstein, Walter
Ratering, Mark/Acevedo, Kirk
Shaw, Morgana/Batten, Cyia
Pralle, Debra/Lubatti, Henri
Garrett, Brad/Carradine, David
Blount, Kirven/Ballard, Alimi
Germann, Greg/Leguizamo, John
Schombing, Jason/Sciorra, Annabella
Robin, Alexis/Caravaca, Eric
Feeney, Caroleen/Arnott, Stewart
Idlette, Patricia/Fonda, Bridget
Brocklebank, Daniel/Armstrong, Alun
Phillips, Grace/Bradshaw, Andy
Velasquez, Deion/Arnold, Charlotte
Storch, David/Bridges, Beau
Moldovan, Delhia/Coesens, Anne
Young, Dale/Ageloff, Roy
Hay, Jonathon/Alonso, Maria Conchita
Ari, David/Kramer, Scott
Nader, Joey/Bono
Bridges, Beau/Jolivette, Vince
Roberts, Eliza/O'Neal, Patrick
Ivon, Sabrina/Albala, Michael
Finnighan, Neil/Newton, Thandie
Santos, Marilice/Bastos, Othon
Cochran, Kylee/Arthur, Beatrice
Baird, Maggie/Pendleton, Austin
Kilner, Kevin/Caton, Robert Randolph
Santiago, Irene/Hall, Jason
Smith, Kerr/Jones, O-Lan
Letrick, Aaron/Black, Catherine
Ball, Lawrence/Arthur, Beatrice
DaRe, Eric/Banks, Morwenna
Glenn, Mike/Berry, Halle
Valli, Alida/Busch, Inga
Park, Nick/Dobbin, Barry
Markey, John/Burton, Jennifer
Boone, Walker/Flemyng, Jason
Christie, Julianne/Callahan, E.J.
le Dous, Lars/Andersson, Bibi
Hussain, Najir/Akhurst, Lucy
Whippy, Nicole/Bishop, Mark
Phillips, Tracey/Beatty, Ned
Guthke, Karoline/Albrecht, Richard
Borbridge, Brad/Hutton, Timothy
McGrath, Matt/Adams, Lillian
Goupil, Jeanne/Amalric, Mathieu
Stimely, Brett/O'Connor, Carroll
Blackburn, Richard/Benedetti, Caprice
Bradshaw, Michael/Ewell, Dwight
Maudsley, George/Caine, Michael
Dagannaud-Brouard, Hadrian/Ashton, Al
Barnes, Alan/Calder, David
Moore, Taylor/Envy
Kyler, Allison/Azur, Sybil
Robbins, Tim/Albert, Edward
Azucenda, Carlos/Argo, Victor
Guinness, Peter/Sands, Julian
M�ki-T�hk�nen, Eeri/Heiskanen, Ilkka
Jenner, Miguel �ngel/Kane, Tom
Kotcheff, Alexandra/Bauer, Steven
Berti, Ryan/Bauer, Steven
Kov�cs, Zsolt/Camilli, Fabio
Baer, Neal/Howe, Brian
Owens, Warren/Bousdoukos, Adam
Ernrup, Suzanne/Auer, Barbara
Brinks, Niels/Merhar, Stanislas
Woronov, Mary/Reiner, Rob
Schade, Birge/Milberg, Axel
May, Deborah/Edwards, Edward
Swan, Lindsay/Higgins, Clare
Beatty, Ned/Mantle, Kelly
Haney, Daryl/Simic, Nikola
Marrow III, Goerge H./Johnston, Sue
Berg, Wolf-Dietrich/Ahren, Barbara M.
Aguilera, Mari�n/Balagu�, Carmen
Yoshida, Konami/Amamiya, Naomi
Cazaux, Luciano/Arias, Imanol
Kosterman, Mitchell/Bellows, Gil
Bridges, Rachel/Arkin, Adam
Cash, Seanny/Arnold, Charlotte
Doyle, Collin/Forest, Michael
Rouby, Michael/Argo, Victor
Marzen, Tania/Benedetti, Caprice
Deliba, Fejria/Bahloul, Hicham
Heredia, Joey/Depardieu, G�rard
Miller, Lara Jill/Arquette, Lewis
Kay, Barnaby/Deakin, Julia
Conaway, Cristi/Biehn, Michael
Cheng, Ekin/Rogers, AnnieScott
Lynn, William/Breslin, Spencer
Lass, Tom/Lott, Michael
Burgess, Michael T./Jutras, Richard
Vainionp��, Anna/Lyytik�inen, Anna-Elina
Consuelos, Mark/Aaron, Caroline
Paterson, David/Contreras, Luis
Soldevilla, Chris/Bedelia, Bonnie
Reiner, Tracy/Blanc, Jennifer
D�ez, Ines/Asensi, Neus
Valle, Amparo/Anglade, Jean-Hugues
Sandalis, Steve/Baxter, Jennifer
Morrissey, Lori/Bratt, Benjamin
Dangerfield, Cory/Angel, Vanessa
Chambon, Jacqueline/Devos, Emmanuelle
Henderson, Rebecca/Alexakis, Art
Smith, Gemma/Brown, J. Adam
Yama, Michael/Reid, Taylor Anne
Roberts, Doug/Tsar, Mike
Webster, Brian/Dobson, Anita
Burton, Jennifer/Bratt, Benjamin
Ter�n, N�stor/Asensi, Neus
Elias, Arieh/Tinkerbell
Corbin, Barry/Arthur, Beatrice
Young, Warwick/Benson, Amber
Buhr, Gavin/Dolan, Andrew
Wateridge, Sarah/Badel, Sarah
Higgins, Samuel/Argo, Victor
Mokhov, Semyon/Budraitis, Juozas
Matthews, Dave/Coolio
Duff, Blythe/Dawn, Elizabeth
Amft, Diana/Renneberg, Annett
Bates, Kathy/Alexander, John
Malota, Kristina/Garrison, Andy
Orr, Chris/Alba, Jessica
Bartolom�, Lourdes/Berryman, Doroth�e
Schechter, Sara/Anglade, Jean-Hugues
Mazza, Joe/Beaton, Bruce
Avena, Emmanuel/Brasseur, Claude
Graham, Conan/Bouck, Brittany Paige
Brenner, Eve/Bonds, De'aundre
Akahoshi, Steve/Beck, Maria
Deakins, Sarah/Radley, Xantha
Marshall, James/O'Neal, Patrick
Murphy, Harry S./Hall, Regina
Borrillo, Tom/Bradshaw, Andy
Soualem, Zinedine/Gomaa, Soraya
Aiken, Mark/Isaac, Rachel
Garkalin, Valeri/Budraitis, Juozas
Epps, Mike/Randles, Kerri
Tritter, Wes/Andersons, Mar
Froman, Kyle/Auberjonois, Rene
Maxwell, Jack/Arau, Alfonso
Israel, Al/Bexton, Nathan
Danford, Chad/Micca, Ron
Giago, Deanne/Black, Lucas
Pryce, Jonathan/Lebor, Stanley
Hamilton, Zack/Coolio
J�rphammar, Anna/Andr�e, Leif
Foreman, Jamie/Byron, Kathleen
Chung, Kanoa/Badel, Sarah
Brychta, Edita/Bailey, Eion
Saint-Macary, Hubert/Pellegeay, Fr�d�ric
Vanloo, Christine/Aries, Jacqueline
Maack, Harald/Mattausch, Dietrich
Frederickson, Ron/Aiello, Danny
Garita, Priscilla/Francis, Ryan
Ford, Luke/Davis, Marc
Paulus, Laura/Auberjonois, Rene
Hancock, Cherryl/Frost, Sadie
Walker, Arnetia/Aries, Jacqueline
Lopez, Sylvia/Harris, Wood
Rodr�guez, Narciso/Arnette, Jeanetta
Healy, Pat/Bauer, Steven
Elizabeth, Shannon/Berger, John
Vrolson, Diane/Bowen, Michael
Fishoff, Benjamin/Castellaneta, Dan
Khong, Daniel/Angel, Vanessa
McCharen, David/Callahan, E.J.
Ballesteros, Anderson/Armend�riz Jr., Pedro
Faerber, Peter/Andress, Herb
Weinstein, Joshua/Burton, No�l
Garrison, Mary Catherine/Bu�uel, Juan Luis
Luck, John/Blount, Steve
Mia, Angela/Bratt, Benjamin
Chapalain, Carole/Devos, Emmanuelle
Best, Steven/Clooney, George
Warren, Kimberly/Argenziano, Carmen
Lobban, Deborah/Cummins, Gregory Scott
Ohnegian, Pete/Brooks, Rebecca
Berg, Jeff/Forster, Robert
Fox, Colin/Donovan, Martin
Rosenbaum, Michael/Diaz, Cameron
Hutson, James/Gossett Jr., Louis
Noday, Patt/Anglade, Jean-Hugues
Kay, Billy/Bennett, Nigel
Gallivan, Craig/Churcher, Teresa
Hay, Marianna/Briant, Aude
Herrmann, Edward)/Bako, Brigitte
Morel, Natalia/Colin, Gr�goire
Weisner, Howard/Acevedo, Kirk
McGilligan, Patrick/Busfield, Timothy
Elka�m, J�r�mie/Ma�ga, A�ssa
White, Tim/Combs, Jeffrey
Reinikka, Marinella/Heiskanen, Ilkka
Adams, Brock/Bajer, Sharon
Bryland, Jacques/Allain, Jean
Shranny/Ballard, Alimi
Jones, Gina/Barron, Dana
Pipping, Gottfried/Chevit, Maurice
Bradley, John/Jolivette, Vince
Chielens, David/Baker, Simon
Heche, Anne/Mackie, Allison
Patterson, Rebecca/Caulfield, Maxwell
Savage, Dale/Isaac, Rachel
David, Ellen/Bailey, Eion
Traynor, Billie/Armstrong, Alexander
Yager, Missy/Carroll, Larry
Gaida, Christopher/Esposito, Giancarlo
Dini, Ana Valeria/Amandola, Vittorio
McKay, Andrew/Acevedo, Kirk
Borkowski, John/Ager, Nikita
Coleman, Jim R./Bailey, Eion
Peterson, Gervase/Anwar, Gabrielle
Newhouse, Sarah/Beze, Dante
Londez, Guilaine/Bertin, Fran�oise
Collins, Myles/Binder, Mike
Milldoff, Kenneth/Binasco, Valerio
Balfour, Eric/Castellanos, Vincent
Presno, Robert/Arquette, Alexis
Barron, Keith/Douglas, Donald
Fazira, Erra/Aida, Umie
McClain, Cady/Russell, Regina
Wescott, Brian/Baxter, Jennifer
Garden, Graeme/Benson, Perry
Villeroy, Emilien/Anger, J�r�me
Gunton, Bob/Arthur, Beatrice
Shehovich, Sheyla/Atkinson, Rowan
Ramsey, David/Lane, Nathan
Quist, Laura Zoe/Adams, Amy
Yebra, Eloi/Br�dice, Leticia
Benoit, Louis/Devane, William
Cameron, Kirk/Anglade, Jean-Hugues
Soucie, Kath/Holmes, Tina
Herd, Richard/Willis, Bruce
Nasr, Ramsey/Dobra, Anica
Jaxx, Jill/Albala, Michael
von Homburg, Wilhelm/Balmer, Jean-Fran�ois
Thaddeus, Marlene/Batchelor, John
Loring, Chuck/Alper, Eugene
Cameron, Dan/Buscemi, Steve
Kipling, Madeleine/Bilderback, Nicole
Verea, John/Arngrim, Alison
Caracciolo, Antonio/Amandola, Vittorio
Fabray, Nanette/Armend�riz Jr., Pedro
Ruiz, Leopoldo/Colin, Gr�goire
Doresa, Reginald/Braugher, Andre
Cechticky, Jan/Roden, Karel
Robinson, Craig/Alonso, Maria Conchita
Denison, Anthony John/Appel, Peter
Ristic, Jean-Luc/Davies, Russell T.
Yeung, Kar Kut/Asner, Edward
Riffe, Byron/O'Connor, Carroll
Yasuda, Doug/Bradshaw, Andy
Garrel, Philippe/Cedr�n, Pablo
Assadipour, Perry/Adler, Charles
Naim, Ahmed/Langa, Ram�n
Summer, C.G./Conner, Ryan
Keener, Brandon/Bahns, Maxine
Lecomte, Cyril/Cowling, Brenda
Wong, Chi Wah/Coolio
Baltimore, Charli/Burton, No�l
Domitrovic, Velimir/Belko, Krunoslav
S�zer, Hilmi/Martens, Dirk
Geeson, Judy/Bradshaw, Andy
Rutherford, Eric/Thurman, Uma
Hanba, Tomoe/Amamiya, Naomi
McCullough, Julie/Richardson, Kevin Michael
Lei, Sung Hi/Angel, Vanessa
Pegler, Mark/Allen, Joan
Rose, Gabrielle/Alonso, Maria Conchita
Cascone, Nicholas/Adams, Lillian
Karven, Ursula/Garbers, Gerhard
Bloch, Bernard/Bonnaire, Jean-Paul
D�sourdy, Marc/Busey, Gary
Greyvenstein, Leigh/Bauer, Steven
Williams, Shanti/Ashker, John
Norris, Terry/Allen, Joan
Nones, Paco/Anglade, Jean-Hugues
Holden, Amanda/Byrne, Nicky
Alsina, Edward/Bell, Marshall
Lander-Duke, Claudia/Bovell, Brian
Liapis, Peter/Burton, Fredrick
Kilgallen, Marcia/Bachar, Dian
MacMenamin, Tim/Moses, William R.
Hildebrand, Dan/Bernstein, Walter
Nicholson, Simon Ward/Dobson, Anita
Gromoff, Brian/Asner, Edward
England, Audie/Caton, Robert Randolph
Cage, Nicolas/Benson, Jodi
Blazier, John E./Bauer, Christopher
Alkaghat, Mohamed/Berling, Charles
Youngberg, Curt/Acheson, Mark
Lorite, Paca/Alexandre, Manuel
George, Susan/Wagner, Robert
Lebrun, Fran�oise/Pr�vost, Daniel
McCorkindale, Don/MacLeod, Mary
Costa, Camacho/Ruth, Isabel
Auteuil, Daniel/Leray, M�lanie
Rhodes, Lara Boyd/Booth, Kristin
Outlaw, Patrick/Francis, Ryan
Patane, Joe/Anderson, Timothy
Atifi, Zakaria/Merino, Aitor
Basford, Matt/Anderson, Stanley
Wood, Victoria/Cornwell, Phil
Wragg, Kaye/Cartlidge, Katrin
Hobson, Leo/Argo, Victor
Austin, Teri/Acevedo, Kirk
Kettle, Liz/Beckinsale, Kate
Feore, Rory/Kidder, Margot
Croteau, Alexandra/Alterio, H�ctor
Braz�o, S�nia/Ruth, Isabel
Doray, Garrett/Radley, Xantha
Garfinkle, Nick/Armend�riz Jr., Pedro
Brillhart, Patric/Brooks, Rebecca
Morse, Christo/Macaluso, Mario
Avery, Brian/Bahns, Maxine
Elkington, Michael/Christiansen, Dalin
Ah-Niu/Chan, Alice
Wallace, Cat/Bauer, Steven
Ashley, Amy/Arnette, Jeanetta
Elizabeth/Anglade, Jean-Hugues
Konecke, Keith/Tsar, Mike
Vazquez, Yolanda/Affleck, Ben
Suri, Sanjay/Haasan, Kamala
Will, Georg/Bain, Barbara
Trafford, Mark/Lereaney, David
Barrett, Eva/Ameyaw, Kwesi
Lancaster, James/Dulce Vida, Jullian
James, Brenda/Boyd, Alexandra
Walker, Olivia/Ambrose, Caroline
Ishionwu, Uche/Akin, Cem
Lindstr�m, Miia/Nousiainen, Heikki
Gerrard, Christine/Aaliyah
Stander, Chantelle/Arnette, Jeanetta
Detmer, Amanda/Thurman, Uma
Woods, Joe/Curtis-Hall, Vondie
Stanchev, George/Benedetti, Caprice
Ferguson, Lou/Adams, Joey Lauren
McQuillan, Philip/Cook, Greg Russell
Ramos, Jason/Bell, Marshall
Palma, Donovan/Hutton, Timothy
Sawyer, Annie/Ashker, John
Gelman, Larry/Bosco, Philip
Jand�k, V�tezslav/Kodet, Jir�
Keeling, Jeff/Berry, Halle
Larmande, Bernard/Berg�, Francine
Marsalis, Wynton/Black, Don
Kapoor, Anil/Logan, Bey
Redmann, Teal/Whyte, Alison
Schlesser, Jean-Louis/Alterio, H�ctor
Conquiero, Pablo/Sands, Julian
Handley, Taylor/Aaron, Caroline
Steinmann, Klaus-J�rgen/Citran, Roberto
Cross, Joseph/Arquette, Lewis
Peretz, Clara/Batten, Cyia
Nail, Frank/Budraitis, Juozas
