Ferris, Barbara/Bull, Peter
Gaj, Grigori/Adorf, Mario
Storch, Larry/Berle, Milton
Stevens, Warren/Anderson, Richard
Lodge, Andrew/Braun, Pinkas
Mulholland, Gordon/Clark, Fred
Sawatsky, Trudy/Karras, Alex
Eljas, Anders/Oliver, Tom
Hoffman, Victoria/Berger, Gregg
Loewen, Jocelyne/Baker, James
Renn, Katharina/Pr�boist, Jacques
Winter, Domini/Ayres, Rosalind
Rainey, Ford/Barry, Ivor
Chesebro, George/Peil Sr., Edward
Borgstaller, Rudy/Albertson, Jack
Davis, Phyllis/Berlinger, Warren
Hoven, Louise/Andersson, Bibi
Edwards, Marshall/Chapman, Lonny
Bryant, Michael/Baker, George
Hayden, Frank/Beckley, Tony
Milligan, Deanna/Coleman, Dabney
Gordon, Anita/Nash, Clarence
Womack, Lee Ann/Jennings, Waylon
Sanders, Richie/Bondi, Beulah
Mishima, Ko/Conway, Harold
Flaherty, Joe/Bernhard, Sandra
Fields, Charles/Duell, William
Davis, Judy/Charlton, Bill
S�gal, Gilles/Boyer, Charles
Ward, Mark/McKellen, Ian
Foss, Wenche/Adam, Ronald
Rozier, Shiva/Brooke, Walter
Connolly, Gerry/Goodman, John
Johnson, Ronnie/Baskcomb, John
Norry, Marilyn/Jones, Freddie
Deutsch, Patti/Bell, Michael
Wimbush, Mary/Abbott, Pamela
Weaver, Malcolm/Battley, David
Carroll, William/Chandler, David
Hogan, Andrew/Brazeau, Jay
Corr, Andrea)/Rickles, Don
Nichols, Kyra/Culkin, Macaulay
Chilcutt, Phil/Brazeau, Jay
Haas, Avi/Johnson, Ashley
Hobbie, Duke/Brady, Scott
Duran, Dan/Ashmore, Shawn
Barnes, Adrian/Ayres, Rosalind
Blake, Amanda/Caron, Leslie
McCullough Sr., Jim/Adrian, Iris
Wrigley, Ben/Delevanti, Cyril
Maltby, Wendy/Dennen, Barry
Moore, Ashton/Coleman, Dabney
Nottle, Dean/Allen, Elizabeth
Boratto, Caterina/Law, John Phillip
Langella, Frank/Brooks, Mel
James, Godfrey/Graham, Gerrit
Golden Eddie/Ayres, Lew
Tors, Ivan/Brock, Stanley
Kulle, Jarl/Andersson, Bibi
Potter, Gary/Dean, Roy
Yamanaka, Lisa/Crawley, Amos
Lopert, Tanya/P�rier, Fran�ois
Graham, Gerrit/Angel, Jack
Far�s, Nadia/Dobson, Paul
Murphy, John/Bacall, Lauren
Plummer, Christopher/DeLuise, Dom
McLeod, Kelsey/Lightstone, Marilyn
Turner, Anna/Allen, Patrick
Watts, Heather/Culkin, Macaulay
Fitzgerald, Sean/Begley Jr., Ed
Van, Bobby/Boyer, Charles
Shield, Jim/Baker, James
Skinner, Keith/Ayres, Rosalind
Rusmin, Veronica/Prendes, Luis
Amici, Danna/Cushing, Peter
Manzel, Paul/Crandall, Brad
Baker, Hylda/Baskcomb, John
Auelua, Besmark/Adam, Ronald
Schultz, Albert/Baker, James
Crisp, Tracey/Adam, Ronald
Garner, Ed/Amsterdam, Morey
Miller, Karen/Andrews, Harry
Benjamin, Christopher/Gloag, Helena
Timuss, Debbie/Alexander, Jason
Fine, Ray/Brown, Lew
Persson, Ralph/Brynner, Yul
Glover, Bill/Barry, Ivor
Sweeney, Peter/Farnsworth, Richard
Beams, Dovie/Fisher, Shug
Beatty, May/Bruce, Nigel
Britt, Leo/Baker, George
Sinatra, Nancy/Ballantine, Carl
Napier, Alan/Crisp, Donald
Janssen, David/Askew, Luke
Tucker, Harland/Allwyn, Astrid
Seymour, Ann/Berti, Dehl
Logan, Tom/Berle, Milton
Mills, Hayley/Anderson Jr., Michael
Drinkwater, Ros/Adam, Ronald
Biagi, Bridget/Daunton, Jeffrey
Bell, Ivan/Adam, Ronald
Bruck, Bella/Flynn, Joe
Banionis, Donatas/Adorf, Mario
Gale, Eddra/Elcar, Dana
Gower, Ruth/Abbott, Pamela
Van Rooten, Luis/Audley, Eleanor
Dagher, Laila/Imhoff, Gary
Walsh, J.T./Duell, William
Iwerks, Don/Grammer, Kelsey
Sieck, Constanze/Brown, Jim
Bird, Charlie L./Armstrong, R.G.
Wager, Michael/Aslan, Gr�goire
Bender, Russ/Alden, Eric
Clare, Diane/Adam, Ronald
Moses, Harry/Bill, Tony
Eddy, Helen Jerome/Ahn, Philip
Whitaker, Johnny/Ayres, Lew
Hewitt, Jennifer Love/Alexander, Jason
Rolofson, Bobby/Almanzar, James
Evans, Shirley/Claydon, George
Dean, Margia/Capell, Peter
Ramus, Nick/Almanzar, James
Benchley, Robert/Alexander, Ernie
Isbell, Jane/Allen, Harry
Devine, Aidan/Ashmore, Shawn
Docter, Peter/Angel, Jack
Forbes, Bryan/Barkworth, Peter
Hui, Eric/Brazeau, Jay
Truzzi, George/Audley, Maxine
Lavin, Linda/Bernhard, Sandra
Robbins, Joyce/Johnston, Shaun
Schnabel, Stephen/Capell, Peter
Abbott, Philip/Clarke, Gage
Caloz, Michael/Weaver, Dennis
Kastner, Mercedes/Baker, Karily
Preston, Billy/Harrison, George
Austin, Irene/Adam, Ronald
McCallum, Bill/Farnsworth, Richard
Gerritsen, Lisa/Bell, Michael
Giftos, Elaine/Albertson, Mabel
Cox, Barry/Beckley, Tony
Hagen Andersen, Asta Esper/Andersson, Bibi
Candler, Bobbie/Begley Jr., Ed
Coombs, Murray/Allen, Harry
Gray, Margery/Adams, Mason
Williams, Mark/Benfield, John
Richards, Ariana/Constantine, Michael
Clinton, Roger/Proctor, Philip
Tiger, Bobby/Keith, Brian
Shaw, Robert 'Buddy'/Alexander, Ernie
Stocker, John/Hanna, Elizabeth
Akitsu, Hiroshi/Conway, Harold
MacDonald, David/Karras, Alex
Rowley, H.L./Benson, Lucille
Davis, Charley/Payne, John
Oren, Riki/Dennen, Barry
Sallis, Peter/Andrews, Harry
McGoohan, Patrick/Bill, Tony
Kirby, W./Alden, Eric
Peach, Mary/Bayldon, Geoffrey
Nettleton, John/Lester, Mark
MacLachlan, Janet/Brown, Jim
Sharp, Matthew/Ashmore, Shawn
Cribbins, Bernard/Agutter, Jenny
Barnes, Walter/Brandon, Henry
Chabert, Lacey)/Azaria, Hank
Neil, Tony/Bletcher, Billy
Martin, Irene/Bambury, John T.
Rhett, Alicia/Alden, Eric
Robins, Elliot/Collins, Roberta
Duncan, Sandy/Andrews, Edward
Lennon, John))/Clive, John
Hyde, Tracy/Cossins, James
Crudele, Frank/Ashmore, Shawn
Raskin, Kenny/McKellen, Ian
Lyngstad, Anni-Frid/Oliver, Tom
Shaw, Larry/Amsterdam, Morey
Johnson, Georgann/Bergman, Ingrid
Wasserman, Molly)/Bennett, Jeff
Bassett, Benjamin/Harris, Julie
Daly, Tyne/Alexander, Jason
Gallegos, Joshua/Doohan, James
Cain, Betty Ann/Bambury, John T.
Zuniga, Daphne/Darden, Severn
Buchholz, Horst/Allen, Marty
Cameron, Gordon/Daunton, Jeffrey
Megill, Sheelah/Alexander, Jason
Stapleton, Jean/Marshall, E.G.
Huntley, Raymond/Burleigh, William
Metzger, Rick/Darden, Severn
Green, Danny/Eyer, Richard
Johanson, Virgil/Bambury, John T.
Judd, Edward/Davenport, Nigel
Raymond, Guy/Agar, John
Arredondo, Roberto/Carradine, David
Maiden, Rita/Pr�boist, Jacques
Bloom, Phil/Adam, Ronald
Garrivier, Victor/Modo, Michel
Thomas, Craig/Doohan, James
Ellis, Juney/Adams, Nick
Molinare, Richard/Dennen, Barry
Davies, Windsor/Battley, David
Kaese, Jacqui/Doohan, James
Ono, Yoko/Evans, Mal
Blythe, Peter/Bass, Alfie
Kay, Steven/Adams, Nick
Mills, Richard M./Crandall, Brad
Samaha, John/Allen, Elizabeth
Kovack, Nancy/Brocco, Peter
Courtney, Chuck/Barry, Don 'Red'
B�ckelin, G�sta/Darling, Jane
Heawood, John/Arne, Peter
Malyon, Eily/Allen, Harry
Amamoto, Eisei/Nakajima, Haruo
Davey, Rachel/Bartlett, Charles
Bron, Eleanor/Ayres, Rosalind
Smith, Max/Thompson, Bill
De Lappe, Gemze/Brynner, Yul
Millet, Nefti/Asner, Edward
Heath, Gordon/Boyer, Charles
McDonough, Andrew/Bennett, Jeff
Joyce, Paddy/Abbott, Pamela
Salmon, Peter/Adam, Ronald
Robbins, Logan/McCoy, Matt
Klint, John/Clyde, Craig
Alexander, Keith/Bishop, Ed
Hampshire, Susan/Davenport, Nigel
Wills, Beverly/Albertson, Jack
Goring, Marius/Adam, Ronald
Collins, Roberta/Clark, Roy
Damon, Stuart/Ames, Trudi
Buckley, Keith/Dors, Diana
Chiari, Walter/Bourvil
Raia, Margie/Bambury, John T.
Gunner, Robert/Burke, Eldon
O'Donnell, Cathy/Buzzanca, Lando
Slater, Christian/Cummings, Brian
Keith, Robert/Berry, Ken
Amalemba, Wally/Coogan, Keith
Both Jr., George/Bacall, Lauren
Halliday, Richard/Baker, James
Pastell, George/Greenwood, Joan
Plant, Robert/Connolly, Billy
Vaughan, Dorothy/Blyth, Ann
Donnelly, Kristina/Abraham, F. Murray
Buttons, Red/Albert, Eddie
Neutze, G�nther/Braun, Pinkas
Andrews, Barry/Davies, Rupert
Koziel, Joe/Bambury, John T.
Goldsmith, Merwin/Karen, James
Yoder, Aly/Brown, Lew
Parry, Roy/Bruce, Nigel
Zehetgruber, Rudolf/Brown, Jim
Copley, Peter/Bass, Alfie
Dahl, Tessa/Ayres, Rosalind
Dion, C�line)/Rickles, Don
Mabe, Ricky/Takei, George
Howells, Colin/Allen, Patrick
Chatto, Daniel/Ayres, Rosalind
Davis, Charley/Alexander, Jason
Ronai, Abraham/Barty, Billy
Tapps, George/Morgan, Harry
Barry, Robert/Bloom, Claire
Parks, Leona M./Corey, Jeff
John, Margaret/McEwan, Geraldine
Gilley, Daryl/Damon, Gabriel
Maxwell, Marilyn/Keith, Brian
Coombs, James/Alexander, Jason
Barry, Hilda/Beckley, Tony
Saviola, Camille/Chandler, David
Killian, Katrina/Begley Jr., Ed
Karen, Kenny/Bader, Diedrich
Buchek, Jerry/Savage, Brad
Gleason, Mary Pat/Bakalyan, Richard
Landen, Dinsdale/Chadwick, Robin
Demarest, William/Daly, Jonathon
Cheung, George/Conn, Didi
Gooch, Bruce/Bergman, Mary Kay
Galindo, Nacho/Alden, Eric
Clarke, Angie/Broderick, Matthew
Rainey, Kathleen/Wynn, Ed
Murphy, John/Keaton, Joshua
Florece, Katrina/Bourgeois, John
Gondy, Karina/Cr�mieux, Henri
Halpin, Ellen/Barry, Ivor
Alexis, Alvin/Ballard, Ray
Hughes, Miko/Holliman, Earl
Leavenworth, Scotty/Welker, Frank
Snyders, Virginia/Baker, George
Temple, Shirley/Corey, Jeff
von Heijne, Erland/Chakiris, George
Medford, Kay/Morgan, Harry
Hall, Bug/Adler, Charles
Delm�r, P�ter/De Vernier, Hugo
Stanton, Harry Dean/Gerber, Joan
Blaness, Georges)/Butala, Tony
Mbandu, Konga/Albertson, Jack
Cox, Barry/Carruthers, Ben
Sullivan, Charles/Allen, Harry
Crisp, Donald/Ericson, John
Alza, Walter/Abbott, John
Lyman, Will/Heston, Charlton
Bridges, Jenny/Adam, Ronald
Reitherman, Robert/Ames, Leon
Baker, Kenny/Barty, Billy
Kishi, Keiko/Alderson, John
Kozicki, Adam Edwin/Corey, Jeff
Samardzic, Ljubisa/Irwin, Charles
Jones, Shirley/Alderson, John
Gunner, Robert/Colley, Don Pedro
Hansard, Paul/Bayldon, Geoffrey
Masterson, Fay/Dorr, Lester
Barber, Gillian/Jones, Freddie
Mazzola, Eugene/Jones, Dean
Yordan, Danny/Bell, Alfred
Stewart, Roy/Allen, Patrick
Dabney, Augusta/Keaton, Joshua
Zakharenko, Konstantin/Ashmore, Shawn
Steen, Derek/Bass, Alfie
Ratzenberger, John/Allen, Patrick
Whitmire, Steve/Savalas, Telly
Mazzola, Anthony/Anderson, Richard
Knight, Nic/Abbott, John
Imai, Kazuo/Mifune, Toshir�
Garrett, Dana/Ayres, Lew
Hughes, Geoffrey/Beckley, Tony
White, Jesse/Bouchey, Willis
Kulp, Nancy/Morgan, Harry
Johnston, Oliver/Adam, Ronald
Jones, John/Carson, Paul
Krawetz, William/Curry, Tim
Hensbergen, Lo van/Alderson, John
Thring, Frank/Bourvil
More, Kenneth/Boyer, Charles
Higgins, Mike/Aris, Ben
King, Alissa/Angel, Jack
Nelson, Ozzie/Darby, Kim
Kiley, Richard/Adams, Nick
Holt, David/Allen, Harry
Davison, Bruce/Bourgeois, John
Wladon, Jean/Fonda, Jane
Bernard, Joseph/Bosley, Tom
Robinson, Ann/Bacon, Irving
Kosugi, J�r�ta/Ootani, Ikue
Bergman, Henry/Cargill, Patrick
Brandis, Jonathan/Welker, Frank
Welden, Ben/Blandick, Clara
Langner, Christine/Ballard, Ray
Parkhomenko, Aleksandr/Hooper, Ewan
Weaver, Jason)/Cumming, Alan
Matina, Matthew 'Mike'/Corey, Jeff
Munro, Janet/Bolger, Ray
Schnabel, Stephen/Albertson, Jack
Hansen, Cassie/Barry, Ivor
Packer, Robert/Crisp, Donald
Banks, Jonathan/Conn, Didi
Fredericks, Charles E./Bouchey, Willis
Germaine, Maeve/Allen, Elizabeth
Soboloff, Arnold/Bouchey, Willis
Vac�o, Natividad/Nakajima, Haruo
Edwards, Leslie/Ayres, Rosalind
Weaver, Ric/Ayres, Lew
Christie, Van/Griffith, Kenneth
Tobin, Michele/McDowall, Roddy
Reeves, Keanu/Dorr, Lester
Sawatsky, Susan/Franciscus, James
Evans, Rupert/Gugolka, John
Cocker, Joe/Gable, Christopher
Moss, Ellen/Jones, Dean
Barrier, Ernestine/Brand, Neville
Coppola, Ivanah/Benson, Jodi
Rossitto, Angelo/Baer, Parley
Zamprogna, Lou/Audley, Maxine
Carter, Joey/Armstrong, R.G.
Rivera, Chita/Barry, Ivor
Rojo, Gustavo/Asner, Edward
Green, Danny/Clarke, Gage
Sweeney, Garrett/Ansara, Michael
Cairney, John/Almanzar, James
White, Betty/Brown, Jim
Allen, Paula/Irwin, Charles
Barton, Tony/Dorr, Lester
Kelley, Barry/Baer, Parley
Masak, Ron/Welker, Frank
Hamada, Masatoshi/Tajima, Reiko
Hollenbeck, Heather/DiMaggio, Joe
Robinson, Ruthie/Ballard, Ray
Ishizuka, Unsh�/Tajima, Reiko
Loeb, Lisa/Angel, Jack
Walker, Robert/Bron, Eleanor
Ryan, Will/Borgnine, Ernest
Schacher, Frank/Ames, Leon
Jefferson, Kevin/Korman, Harvey
Brown, Mildred/Bloom, Claire
Gelardi, Jane/Albertson, Jack
Moll, Brian/Berlinger, Warren
Pozo, �ngel del/Lester, Mark
Shen, Freda Foh/Belle, Camilla
Muc, Micheline/Chevalier, Maurice
Cabot, Bruce/Stack, William
Meldrum, Mendel/Allister, Claud
Briggs, Harlan/Rathbone, Basil
Smith, Albert/Brooke, Walter
Medalis, Joseph G./Bouchey, Willis
Noll, Christiane)/Bluto, Tony
Rosa Jr., Bernardo/Chandler, David
Tors, Steven/Braeden, Eric
Tanninen, Christopher/Megill, Sheelah
Eynas, F�lix/Hooper, Ewan
McNeil, Scott/Goldberg, Whoopi
Pastell, George/Bron, Eleanor
Shannon, Cora/Bacon, Irving
Keller, Sarah/Parfitt, Judy
Lenoir, Rudy/McKennon, Dal
Hayes, Ron/Armstrong, R.G.
Dumbrille, Douglass/Kilian, Victor
Diamond, Don/Schallert, William
Thomas, Damien/Battley, David
Ritchard, Cyril/Ames, Trudi
Lewis, Ron/Adrian, Iris
Scurry, Briana/Conway, Tim
Cox, Willard/Cannon, J.D.
Mead, Robert/Ayres, Rosalind
Nelson, Margot/Barry, Ivor
Ross, Katharine/Acosta, Rodolfo
Brown, Jim/Moore, Alvy
Kane, Patricia/Baker, Diane
Weclawek, Stefan/Welker, Frank
Bruggeman, George/Bloom, Claire
Love, Darlene/Knotts, Don
Renn, Katharina/Chevalier, Maurice
Pinney, Patrick/Benson, Jodi
Bain, Al/Bloom, Claire
Ahui/Cooper, Jeff
Fraser, Helen/Dalton, Timothy
Anderson, Carl/Collier, Patience
Baskcomb, John/Kinnear, Roy
Moore, Steve/Jones, James Earl
Scott, Keith/Paulsen, Rob
Norris, Dean/Belle, Camilla
Laugeois, Jo�lle/Chevalier, Maurice
Baker, Jesse/Russell, Kurt
Hammett, Mike/Crisp, Donald
Shaw, Kaefan/Caine, Michael
Macy, Rick/Johnson, Jason
Wakamatsu, Akira/Mifune, Toshir�
Ralston, Corey/Bakalyan, Richard
Stephenson, Henry/Bergman, Ingrid
Ohad, Gabi/Barty, Billy
Dee, Ann/Adam, Ronald
Lange, Hilda/Corey, Jeff
Davis, Eddie/More, Kenneth
Peckham, Kevin/Chartoff, Melanie
Charnay, Jean-Claude/Chevalier, Maurice
McDevitt, Ruth/Morgan, Harry
Zondag, Dick/Damon, Gabriel
Linn, Bambi/Barnes, Walter
Basco, Dante/Jones, James Earl
Land, Jimmy/Brannick, Dick
Jones, Ben/Brooke, Walter
Best, Wayne/Fields, Charles
Roebke, Carroll/Barry, Ivor
Turner, Kathleen/Adler, Charles
March, Craig/Begley Jr., Ed
Naestas, Dulcinea/Bacon, James
Donnelly, Donal/Hooper, Ewan
Ronald, Norma/Bowler, Norman
Warrick, Ruth/Devine, Andy
Lussier, Robert/Bouchey, Willis
Harris, Hope/Benson, Jodi
Oz, Frank/Almanzar, James
Wells, Hubert/Welker, Frank
Leigh, Katie/Flynn, Joe
Ireland, John/Barty, Billy
Bagg, Ian/Begley Jr., Ed
Glicken, Jack/Corey, Jeff
Campbell, Christian/Conn, Didi
Graham, Wade/Bosley, Tom
Stuart, Chad/Caron, Leslie
Lew, Jocelyn/J�rgens, Curd
Sand, Paul/Welker, Frank
Condon, Dominic/Welker, Frank
Young, Victoria/Amsterdam, Morey
Silvagni/Chevalier, Maurice
Z�ch, J�nos/De Vernier, Hugo
Holmes, Channing C./Chandler, David
Mansfield, John/Bakalyan, Richard
Glanville, Maxwell/Elam, Jack
Ziegler, Ernst/Main, Laurie
Sinden, Donald/Welker, Frank
Kartalian, Buck/Colley, Don Pedro
Paget, Debra/Jones, Dean
Bradley, Bea/Barry, Ivor
Candy, John/Allen, Rex
Condra, Julie/Henshaw, Jim
Th�rien, Andr�/Fields, Charles
Alazraqui, Carlos/Auberjonois, Rene
Haynes, Dick/Acosta, Rodolfo
Lenthall, David/Camp, Colleen
Gossett Jr., Louis/More, Kenneth
Underdown, Edward/Chadwick, Robin
Griffiths, Mary/Bron, Eleanor
Hartstone, Christopher/Corcoran, Kevin
Aris, Ben/Bayldon, Geoffrey
Dennis, Patrick/Armstrong, R.G.
Ponce-Enrile, Christina/Bridges, Lloyd
Aigner, Franz/Kolden, Scott C.
Giroday, Fran�ois/Anderson Jr., Michael
Robinson, Bartlett/Amsterdam, Morey
Pace, Jeffrey/Bennett, Jeff
Wilkinson, David/McEwan, Geraldine
Byrd, Dan/Corby, Ellen
Robson, Ken/Audley, Maxine
Packard, Frank/Corey, Jeff
Shiozawa, Toki/Baker, Carroll
Raskin, Kenny/Ashmore, Shawn
Staubach, Mark Allan)/Bikel, Theodore
Carver, Lynne/Rathbone, Basil
Fujita, Zan/Sahara, Kenji
Orleans, James Brown/Dobtcheff, Vernon
Fain, John/Baker, Diane
Middlemass, Frank/Abbott, John
Forrest, Tom/Brown, Jim
Deuel, Geoffrey/Angarola, Richard
Juhlin, Niklas/Clarke, Basil
Bender, Jack/Ames, Leon
Brine, Adrian/Hooper, Ewan
Cavens, Albert/Bloom, Claire
Fitzhugh, Ellen/Farmer, Bill
Farelli, Kai/Bouchey, Willis
Reincke, Heinz/Brand, Neville
Weingott, Owen/Berlinger, Warren
Browne, Coral/Alden, Norman
Jeter, Michael/Baker, Dee Bradley
Kane, Jimmy/Evans, Gene
Porter, Brett/Capell, Peter
Kern, Pouel/Christmas, Eric
Barnes, Christopher Daniel/Proctor, Philip
Pennington, Michael/Bluthal, John
DiPaolo, Dante/Barry, Ivor
Nichols, Barbara/Adrian, Iris
Millar, Lee/Haydn, Richard
Spann, Aaron/Flynn, Joe
Neal, Patricia/Buchanan, Edgar
Barzion, Jon/Law, John Phillip
Kimball, Bruce/Brooke, Walter
Nakadai, Tatsuya/Dunham, Robert
Parsons, Michael/Bridges, Lloyd
Fox, Jessica/Andrews, Harry
Vanderveen, Joyce/Jones, Dean
Miura, Koichi/Welker, Frank
Arrick, Rose/Bernhard, Sandra
Parker, Leni/Weaver, Dennis
Lawson, Gerald/Davenport, Nigel
Havens, Richie/Strode, Woody
Pearce, Damon/Ballard, Ray
Martinez, Leo/Bridges, Lloyd
O'Connell, William/Bosley, Tom
Lewis, Peter/Beckley, Tony
Karlsson, Peter/Azaria, Hank
Noonan, Christine/Bayldon, Geoffrey
Attenborough, Richard/Freberg, Stan
Woods, James/Adler, Charles
Barry, Bruce/Betz, Carl
Gorenstein, Eli/Darden, Severn
Chambers, Wheaton/Buchanan, Edgar
Meader, William/Adam, Ronald
Beeson, Lana/Elam, Jack
Munro, David/Bron, Eleanor
Mayers, Andre/Bourgeois, John
Compton, Mike/Cannon, J.D.
McEnery, Peter/Bron, Eleanor
Lepeltier, Adrian/Brannick, Dick
Poole, Gordon/Brooks, Mel
Borgnine, Ernest/Barsi, Judith
Fischer, O.W./Alexander, Keith
Prince, Ursula/Casey, Bernie
Norman, Mary/Elam, Jack
Gray, George/Keaton, Joshua
Korne, Robert/Franciscus, James
Young, Erika/Dobtcheff, Vernon
Hemblen, David/Allister, Claud
Willis, Katherine/Lawrence, Bill
De Luca, Pupo/Agar, John
Taylor, Veronica/Tajima, Reiko
Brooks, Matthew/Belle, Camilla
Penry-Jones, Peter/Acosta, Rodolfo
Meeker, George/Boyne, Hazel
Conrad, Dorothy/Damante-Shaw, Susan
Hoxie, Richmond/Bassett, William
Jones, Claude/Ahdar, David
Lesser, Robert/Conn, Didi
Ishida, Shigeki/Frees, Paul
Ray, Kim A./Benson, Jodi
Wells, Don/Armstrong, R.G.
Green, Roger/Hooper, Ewan
Swift, Jean/Carney, Alan
Burns, Betty/Bloom, Claire
Watson, Colin/Hooper, Ewan
Varney, Jim/Adler, Charles
Hardin, Melora/Cisar, George
Etterre, Estelle/Adam, Ronald
Risk, Linda Sue/Wynn, Ed
Burnier, Jeannine/Alderson, John
Meisel, Kurt/McKennon, Dal
Gardner, Thaisa L./Corey, Jeff
Parker, Eleanor/Dobtcheff, Vernon
O'Brian, Wilber/Alexander, Jason
Calhern, Louis/Best, James
Battley, David/Ayres, Rosalind
Reicher, Frank/Hytten, Olaf
Angelo, William/Bloom, Claire
Dehelly, Paula/Chevalier, Maurice
Benson, John/Bloom, Claire
Ludwig, Prince/Corey, Jeff
Begley, Ed/Caron, Leslie
DiFrancesco, Tanya/Dobtcheff, Vernon
McCary, Rod/Ames, Leon
MacGinnis, Niall/Fiedler, John
Whitley, Sarah/Boyne, Hazel
McInnerny, Tim/Abbott, John
Capers, Hedges/Bacon, James
Winters, Shelley/Blyth, Ann
Yamadera, K�ichi/Daimon, Masaaki
Steele, Jo Ann/Keith, Brian
Mitchell, Norman/Bluthal, John
Bradford, Jesse/Ballantine, Carl
Koci, Pavel/Welker, Frank
Thomas, Drew Levi/Welker, Frank
Sullivan, Stacy/Baker, Dee Bradley
Lee, Chai/Cavadini, Cathy
Castellaneta, Dan/Allwine, Wayne
Henderson, Florence/Ahdar, David
Helm, Fay/Andrews, Edward
Page, Eileen/Adam, Ronald
Noland, Charles/Welker, Frank
Olsen, Merlin/Baxter, Alan
Randolf, Gary/Nakajima, Haruo
Vizi, Gy�rgy/De Vernier, Hugo
Janssen, Linda/Allen, Elizabeth
DeWitt, Fay/Wynn, Ed
Burnham, David)/Bluto, Tony
Yee, Steven/Carson, Paul
Robinson, Robert Martin/Anderson Jr., Michael
Teller/Welker, Frank
Lonforti, Valerio/Dorr, Lester
Bradley, Virginia/Bloom, Claire
Forman, Joey/Welker, Frank
Kerman, Ken/Baker, Dee Bradley
Coker, Salami/Aslan, Gr�goire
Koberidze, Otar/Lee, Margaret
Pollack, Paige/Allen, Elizabeth
Gilchrist, Connie/Andrews, Edward
Miles, Dido/Bayldon, Geoffrey
Osmond, Cliff/Kahn, Madeline
Marchini, Dorothy/Chakiris, George
Paris, Julie/Dobtcheff, Vernon
Abraham, Charles/Bloom, Claire
Katz, Judah/Abbott, John
Kibrick, Leonard/Curtis, Billy
Waters, Roger/Barry, Don 'Red'
Devine, Andy/Welker, Frank
Van Patten, Joyce/Alden, Norman
Briles, Charles/Wynn, Ed
Morgan, Frank/Crisp, Donald
Sheward, Lee/Broderick, Matthew
Orlando, Orazio/Hooper, Ewan
Whisenhunt, Larry/Bouchey, Willis
Allister, Claud/Allwyn, Astrid
Brown, Phil/Collier, Patience
St. John, Michelle/Flower, George 'Buck'
Swindells, John/Amsterdam, Morey
Weatherred, Michael D./Barry, Ivor
Lemkow, Tutte/Bourvil
Mabe, Ricky/Askew, Luke
Armin, Robert/Candy, John
Adem, Yashaw/Courtney, Stella
Cornelius, Billy/Bromley, Sydney
Gregory, James/DoQui, Robert
Brack, Philip/Morell, Andr�
Doughty, Denis/Albertson, Jack
King, Robert/Elam, Jack
Sullivan, Barry/Pickard, John
Taylor, Buck/Baker, Joe
Brocko, Peter/Adrian, Iris
Swofford, Katie/Barry, Ivor
Hansen, William/Wynn, Keenan
Frees, Paul/Gilchrist, Connie
Harris, Mel/Bakalyan, Richard
Madzikatire, Elizjah/Conn, Didi
Johnston, Justine/Nimoy, Leonard
Forbes, Meriel/Bayldon, Geoffrey
Kerrigan, J.M./Blanc, Mel
Jones, Carolyn/Barkworth, Peter
Bass, Emory/Wynn, Keenan
Marshall, E.G./Welker, Frank
Cashen, Mary Ann/Nakajima, Haruo
Weet, Mandy/Albertson, Jack
Richards, Frank/Kilian, Victor
Lent, Judy/Nakajima, Haruo
Buen, Al/Bloom, Claire
McDonald, Trevor/Broderick, Matthew
Godfrey, Renee/Crisp, Donald
Estuardo, David/Auberjonois, Rene
Lewis, Sylvia/Felton, Verna
Fowler, Almeda/Allister, Claud
Abril, Victoria/Auberjonois, Rene
Klauber, Gertan/Chitty, Erik
Marx, Harpo/Ahn, Philip
Porter, Lillian/Corey, Jeff
Weil, Robert/Burton, Corey
Simpson, Raymond/Ballard, Ray
Romijn-Stamos, Rebecca/Bourgeois, John
Asherov, Misha/Barty, Billy
Hall, Alaina Reed/Coco, James
P�rier, Fran�ois/Chakiris, George
Deacon, Richard/Blyth, Ann
McClean, Colin/Law, John Phillip
Nevins, April/Barry, Ivor
De la Brosse, Marcel/Adam, Ronald
Cranham, Kenneth/Andrews, Harry
Hashim, Edmund/Acosta, Rodolfo
Palmer, Ken/Bergman, Mary Kay
Sterzenbach, Benno/Delfosse, Raoul
Cottonaro, Tommy/Corey, Jeff
Turley, Janet/Lawrence, Bill
Matthews, Lester/Dobtcheff, Vernon
Zoch, Katja/Callaway, Liz)
McKuen, Rod/Burton, Corey
Parrish, Gregg/Abraham, F. Murray
Trundy, Natalie/Brand, Neville
Weinstock, Murray/Garber, Victor
Hunt, Maurice/Brooke, Walter
Mann, Jerry/Wynn, Keenan
Stojka, Andre/Pinney, Patrick
Zamora, Jorge/Ames, Trudi
Diamante, Nina/Corby, Ellen
Shepard, Esther/Angarola, Richard
Aalda, Mariann/Ballard, Ray
Nottle, Dean/Welker, Frank
Van Sickel, Dale/Brand, Neville
Rice, Nicholas/Abbott, John
Lee, Billy/Aylesworth, Arthur
Downs, Frederic/Wynn, Keenan
Clyde, Craig/Ayres, Lew
Fuller, Frances/Camp, Colleen
Margolin, Stuart/Cargill, Patrick
Solon, Ewen/Ashley, John
Grahame, Gloria/Barnes, Walter
Davies, Lyndon/Bayldon, Geoffrey
Fung, Willie/Adam, Ronald
Wood, Myrna/Bell, Michael
